sample_id,file_name,file_path,data_id,project_id,analysis_id,pipeline_urn
NA24143,NA24143.cnv.vcf.gz,/ilmn-analyses/20250707_103905-c4c751ad-3846-4d9c-8611-3483cfd3f0ed/NA24143/NA24143.cnv.vcf.gz,fil.732123fb786e4eb3cc5e08ddb587e125,b0b61ce5-80d9-4640-9b14-bb4238f7e360,c4c751ad-3846-4d9c-8611-3483cfd3f0ed,urn:ilmn:ica:pipeline:103af754-af5f-4d07-847d-04d7e4335238#BSSH_DRAGEN_Germline_Whole_Genome_4-3-13-92dd61
NA24143,NA24143.cnv_sv.vcf.gz,/ilmn-analyses/20250707_103905-c4c751ad-3846-4d9c-8611-3483cfd3f0ed/NA24143/NA24143.cnv_sv.vcf.gz,fil.7617e5eb5cc44671cd0408ddb587e125,b0b61ce5-80d9-4640-9b14-bb4238f7e360,c4c751ad-3846-4d9c-8611-3483cfd3f0ed,urn:ilmn:ica:pipeline:103af754-af5f-4d07-847d-04d7e4335238#BSSH_DRAGEN_Germline_Whole_Genome_4-3-13-92dd61
NA24143,NA24143.mrjd.hard-filtered.vcf.gz,/ilmn-analyses/20250707_103905-c4c751ad-3846-4d9c-8611-3483cfd3f0ed/NA24143/NA24143.mrjd.hard-filtered.vcf.gz,fil.f5907d563ba245c4d7e508ddbb92321b,b0b61ce5-80d9-4640-9b14-bb4238f7e360,c4c751ad-3846-4d9c-8611-3483cfd3f0ed,urn:ilmn:ica:pipeline:103af754-af5f-4d07-847d-04d7e4335238#BSSH_DRAGEN_Germline_Whole_Genome_4-3-13-92dd61
NA24143,NA24143.repeats.vcf.gz,/ilmn-analyses/20250707_103905-c4c751ad-3846-4d9c-8611-3483cfd3f0ed/NA24143/NA24143.repeats.vcf.gz,fil.3b002812fc944746cd1508ddb587e125,b0b61ce5-80d9-4640-9b14-bb4238f7e360,c4c751ad-3846-4d9c-8611-3483cfd3f0ed,urn:ilmn:ica:pipeline:103af754-af5f-4d07-847d-04d7e4335238#BSSH_DRAGEN_Germline_Whole_Genome_4-3-13-92dd61
NA24143,NA24143.repeats.bam,/ilmn-analyses/20250707_103905-c4c751ad-3846-4d9c-8611-3483cfd3f0ed/NA24143/NA24143.repeats.bam,fil.9a64c244650a44c4d81508ddbb92321b,b0b61ce5-80d9-4640-9b14-bb4238f7e360,c4c751ad-3846-4d9c-8611-3483cfd3f0ed,urn:ilmn:ica:pipeline:103af754-af5f-4d07-847d-04d7e4335238#BSSH_DRAGEN_Germline_Whole_Genome_4-3-13-92dd61
NA24143,NA24143.roh.bed,/ilmn-analyses/20250707_103905-c4c751ad-3846-4d9c-8611-3483cfd3f0ed/NA24143/NA24143.roh.bed,fil.2e0d77e3816b49acd88b08ddbb92321b,b0b61ce5-80d9-4640-9b14-bb4238f7e360,c4c751ad-3846-4d9c-8611-3483cfd3f0ed,urn:ilmn:ica:pipeline:103af754-af5f-4d07-847d-04d7e4335238#BSSH_DRAGEN_Germline_Whole_Genome_4-3-13-92dd61
NA24143,NA24143.hard-filtered.baf.bw,/ilmn-analyses/20250707_103905-c4c751ad-3846-4d9c-8611-3483cfd3f0ed/NA24143/NA24143.hard-filtered.baf.bw,fil.f4b6e221ec1047afcd8b08ddb587e125,b0b61ce5-80d9-4640-9b14-bb4238f7e360,c4c751ad-3846-4d9c-8611-3483cfd3f0ed,urn:ilmn:ica:pipeline:103af754-af5f-4d07-847d-04d7e4335238#BSSH_DRAGEN_Germline_Whole_Genome_4-3-13-92dd61
NA24143,NA24143.sv.vcf.gz,/ilmn-analyses/20250707_103905-c4c751ad-3846-4d9c-8611-3483cfd3f0ed/NA24143/NA24143.sv.vcf.gz,fil.c466a782658046add85308ddbb92321b,b0b61ce5-80d9-4640-9b14-bb4238f7e360,c4c751ad-3846-4d9c-8611-3483cfd3f0ed,urn:ilmn:ica:pipeline:103af754-af5f-4d07-847d-04d7e4335238#BSSH_DRAGEN_Germline_Whole_Genome_4-3-13-92dd61
NA24143,NA24143.targeted.json,/ilmn-analyses/20250707_103905-c4c751ad-3846-4d9c-8611-3483cfd3f0ed/NA24143/NA24143.targeted.json,fil.bc56ae11f7c444f2cd0a08ddb587e125,b0b61ce5-80d9-4640-9b14-bb4238f7e360,c4c751ad-3846-4d9c-8611-3483cfd3f0ed,urn:ilmn:ica:pipeline:103af754-af5f-4d07-847d-04d7e4335238#BSSH_DRAGEN_Germline_Whole_Genome_4-3-13-92dd61
NA24143,NA24143.target.counts.bw,/ilmn-analyses/20250707_103905-c4c751ad-3846-4d9c-8611-3483cfd3f0ed/NA24143/NA24143.target.counts.bw,fil.c3d293f305ac44f3d78008ddbb92321b,b0b61ce5-80d9-4640-9b14-bb4238f7e360,c4c751ad-3846-4d9c-8611-3483cfd3f0ed,urn:ilmn:ica:pipeline:103af754-af5f-4d07-847d-04d7e4335238#BSSH_DRAGEN_Germline_Whole_Genome_4-3-13-92dd61
